 -0.10690219E+003  0.57878480E-003  0.81696543E-002
 -0.10679393E+003  0.54568741E-003  0.81795932E-002
 -0.10668566E+003  0.51241549E-003  0.81893417E-002
 -0.10657739E+003  0.47896931E-003  0.81988993E-002
 -0.10646913E+003  0.44534906E-003  0.82082647E-002
 -0.10636086E+003  0.41155499E-003  0.82174373E-002
 -0.10625259E+003  0.37758735E-003  0.82264162E-002
 -0.10614433E+003  0.34344637E-003  0.82352004E-002
 -0.10603606E+003  0.30913230E-003  0.82437890E-002
 -0.10592779E+003  0.27464541E-003  0.82521814E-002
 -0.10581953E+003  0.23998594E-003  0.82603765E-002
 -0.10571126E+003  0.20515417E-003  0.82683736E-002
 -0.10560299E+003  0.17015038E-003  0.82761719E-002
 -0.10549473E+003  0.13497483E-003  0.82837702E-002
 -0.10538646E+003  0.99627790E-004  0.82911683E-002
 -0.10527819E+003  0.64109562E-004  0.82983648E-002
 -0.10516993E+003  0.28420428E-004  0.83053593E-002
 -0.10506166E+003 -0.74393136E-005  0.83121506E-002
 -0.10495339E+003 -0.43469367E-004  0.83187383E-002
 -0.10484513E+003 -0.79669426E-004  0.83251214E-002
 -0.10473686E+003 -0.11603918E-003  0.83312990E-002
 -0.10462859E+003 -0.15257832E-003  0.83372706E-002
 -0.10452033E+003 -0.18928653E-003  0.83430352E-002
 -0.10441206E+003 -0.22616347E-003  0.83485922E-002
 -0.10430379E+003 -0.26320883E-003  0.83539407E-002
 -0.10419553E+003 -0.30042226E-003  0.83590800E-002
 -0.10408726E+003 -0.33780343E-003  0.83640094E-002
 -0.10397899E+003 -0.37535201E-003  0.83687280E-002
 -0.10387073E+003 -0.41306763E-003  0.83732353E-002
 -0.10376246E+003 -0.45094995E-003  0.83775304E-002
 -0.10365419E+003 -0.48899862E-003  0.83816126E-002
 -0.10354593E+003 -0.52721326E-003  0.83854812E-002
 -0.10343766E+003 -0.56559351E-003  0.83891356E-002
 -0.10332939E+003 -0.60413899E-003  0.83925749E-002
 -0.10322113E+003 -0.64284933E-003  0.83957985E-002
 -0.10311286E+003 -0.68172416E-003  0.83988058E-002
 -0.10300459E+003 -0.72076307E-003  0.84015960E-002
 -0.10289633E+003 -0.75996569E-003  0.84041685E-002
 -0.10278806E+003 -0.79933163E-003  0.84065226E-002
 -0.10267979E+003 -0.83886046E-003  0.84086575E-002
 -0.10257153E+003 -0.87855179E-003  0.84105728E-002
 -0.10246326E+003 -0.91840521E-003  0.84122678E-002
 -0.10235499E+003 -0.95842031E-003  0.84137416E-002
 -0.10224673E+003 -0.99859665E-003  0.84149940E-002
 -0.10213846E+003 -0.10389338E-002  0.84160238E-002
 -0.10203019E+003 -0.10794314E-002  0.84168310E-002
 -0.10192193E+003 -0.11200890E-002  0.84174144E-002
 -0.10181366E+003 -0.11609060E-002  0.84177740E-002
 -0.10170539E+003 -0.12018822E-002  0.84179086E-002
 -0.10159713E+003 -0.12430170E-002  0.84178180E-002
 -0.10148886E+003 -0.12843100E-002  0.84175015E-002
 -0.10138059E+003 -0.13257607E-002  0.84169585E-002
 -0.10127233E+003 -0.13673686E-002  0.84161884E-002
 -0.10116406E+003 -0.14091335E-002  0.84151906E-002
 -0.10105579E+003 -0.14510546E-002  0.84139648E-002
 -0.10094753E+003 -0.14931315E-002  0.84125101E-002
 -0.10083926E+003 -0.15353638E-002  0.84108262E-002
 -0.10073099E+003 -0.15777511E-002  0.84089123E-002
 -0.10062273E+003 -0.16202927E-002  0.84067681E-002
 -0.10051446E+003 -0.16629881E-002  0.84043930E-002
 -0.10040619E+003 -0.17058370E-002  0.84017864E-002
 -0.10029793E+003 -0.17488389E-002  0.83989479E-002
 -0.10018966E+003 -0.17919931E-002  0.83958769E-002
 -0.10008139E+003 -0.18352991E-002  0.83925730E-002
 -0.99973126E+002 -0.18787565E-002  0.83890356E-002
 -0.99864859E+002 -0.19223648E-002  0.83852642E-002
 -0.99756593E+002 -0.19661235E-002  0.83812584E-002
 -0.99648326E+002 -0.20100317E-002  0.83770178E-002
 -0.99540059E+002 -0.20540894E-002  0.83725416E-002
 -0.99431793E+002 -0.20982957E-002  0.83678296E-002
 -0.99323526E+002 -0.21426501E-002  0.83628814E-002
 -0.99215259E+002 -0.21871522E-002  0.83576962E-002
 -0.99106993E+002 -0.22318014E-002  0.83522740E-002
 -0.98998726E+002 -0.22765970E-002  0.83466140E-002
 -0.98890459E+002 -0.23215385E-002  0.83407158E-002
 -0.98782193E+002 -0.23666256E-002  0.83345793E-002
 -0.98673926E+002 -0.24118573E-002  0.83282037E-002
 -0.98565659E+002 -0.24572332E-002  0.83215888E-002
 -0.98457393E+002 -0.25027528E-002  0.83147340E-002
 -0.98349126E+002 -0.25484156E-002  0.83076390E-002
 -0.98240859E+002 -0.25942206E-002  0.83003036E-002
 -0.98132593E+002 -0.26401677E-002  0.82927270E-002
 -0.98024326E+002 -0.26862559E-002  0.82849091E-002
 -0.97916059E+002 -0.27324849E-002  0.82768494E-002
 -0.97807793E+002 -0.27788541E-002  0.82685477E-002
 -0.97699526E+002 -0.28253626E-002  0.82600033E-002
 -0.97591259E+002 -0.28720100E-002  0.82512160E-002
 -0.97482993E+002 -0.29187956E-002  0.82421857E-002
 -0.97374726E+002 -0.29657188E-002  0.82329116E-002
 -0.97266459E+002 -0.30127790E-002  0.82233936E-002
 -0.97158193E+002 -0.30599756E-002  0.82136312E-002
 -0.97049926E+002 -0.31073078E-002  0.82036242E-002
 -0.96941659E+002 -0.31547752E-002  0.81933723E-002
