 -0.36580192E+003  0.29437180E-002  0.44742815E-002
 -0.36481912E+003  0.27901587E-002  0.44952681E-002
 -0.36383632E+003  0.26357991E-002  0.45162950E-002
 -0.36285352E+003  0.24806394E-002  0.45373613E-002
 -0.36187072E+003  0.23246801E-002  0.45584660E-002
 -0.36088792E+003  0.21679216E-002  0.45796083E-002
 -0.35990512E+003  0.20103643E-002  0.46007873E-002
 -0.35892232E+003  0.18520088E-002  0.46220020E-002
 -0.35793952E+003  0.16928555E-002  0.46432517E-002
 -0.35695672E+003  0.15329051E-002  0.46645354E-002
 -0.35597392E+003  0.13721580E-002  0.46858523E-002
 -0.35499112E+003  0.12106149E-002  0.47072016E-002
 -0.35400832E+003  0.10482765E-002  0.47285823E-002
 -0.35302552E+003  0.88514335E-003  0.47499935E-002
 -0.35204272E+003  0.72121617E-003  0.47714346E-002
 -0.35105992E+003  0.55649568E-003  0.47929045E-002
 -0.35007712E+003  0.39098263E-003  0.48144025E-002
 -0.34909432E+003  0.22467779E-003  0.48359278E-002
 -0.34811152E+003  0.57581974E-004  0.48574794E-002
 -0.34712872E+003 -0.11030400E-003  0.48790565E-002
 -0.34614592E+003 -0.27897926E-003  0.49006585E-002
 -0.34516312E+003 -0.44844292E-003  0.49222843E-002
 -0.34418032E+003 -0.61869407E-003  0.49439332E-002
 -0.34319752E+003 -0.78973176E-003  0.49656044E-002
 -0.34221472E+003 -0.96155501E-003  0.49872970E-002
 -0.34123192E+003 -0.11341628E-002  0.50090103E-002
 -0.34024912E+003 -0.13075541E-002  0.50307434E-002
 -0.33926632E+003 -0.14817279E-002  0.50524956E-002
 -0.33828352E+003 -0.16566831E-002  0.50742660E-002
 -0.33730072E+003 -0.18324185E-002  0.50960538E-002
 -0.33631792E+003 -0.20089330E-002  0.51178582E-002
 -0.33533512E+003 -0.21862255E-002  0.51396785E-002
 -0.33435232E+003 -0.23642947E-002  0.51615139E-002
 -0.33336952E+003 -0.25431393E-002  0.51833635E-002
 -0.33238672E+003 -0.27227582E-002  0.52052265E-002
 -0.33140392E+003 -0.29031500E-002  0.52271023E-002
 -0.33042112E+003 -0.30843135E-002  0.52489899E-002
 -0.32943832E+003 -0.32662472E-002  0.52708887E-002
 -0.32845552E+003 -0.34489497E-002  0.52927977E-002
 -0.32747272E+003 -0.36324198E-002  0.53147163E-002
 -0.32648992E+003 -0.38166558E-002  0.53366437E-002
