 -0.10688726E+003  0.42875956E-003 -0.10463180E-002
 -0.10676406E+003  0.43906497E-003 -0.10510402E-002
 -0.10664086E+003  0.44942640E-003 -0.10557654E-002
 -0.10651766E+003  0.45984382E-003 -0.10604934E-002
 -0.10639446E+003  0.47031654E-003 -0.10652237E-002
 -0.10627126E+003  0.48084532E-003 -0.10699567E-002
 -0.10614806E+003  0.49142944E-003 -0.10746918E-002
 -0.10602486E+003  0.50206961E-003 -0.10794295E-002
 -0.10590166E+003  0.51276511E-003 -0.10841691E-002
 -0.10577846E+003  0.52351600E-003 -0.10889107E-002
 -0.10565526E+003  0.53432292E-003 -0.10936545E-002
 -0.10553206E+003  0.54518523E-003 -0.10983998E-002
 -0.10540886E+003  0.55610285E-003 -0.11031468E-002
 -0.10528566E+003  0.56707572E-003 -0.11078953E-002
 -0.10516246E+003  0.57810391E-003 -0.11126453E-002
 -0.10503926E+003  0.58918814E-003 -0.11173968E-002
 -0.10491606E+003  0.60032685E-003 -0.11221493E-002
 -0.10479286E+003  0.61152070E-003 -0.11269029E-002
 -0.10466966E+003  0.62276974E-003 -0.11316575E-002
 -0.10454646E+003  0.63407388E-003 -0.11364130E-002
 -0.10442326E+003  0.64543306E-003 -0.11411693E-002
 -0.10430006E+003  0.65684718E-003 -0.11459263E-002
 -0.10417686E+003  0.66831560E-003 -0.11506836E-002
 -0.10405366E+003  0.67983955E-003 -0.11554416E-002
 -0.10393046E+003  0.69141755E-003 -0.11601996E-002
 -0.10380726E+003  0.70305109E-003 -0.11649583E-002
 -0.10368406E+003  0.71458580E-003 -0.11696882E-002
 -0.10356086E+003  0.72632738E-003 -0.11744478E-002
 -0.10343766E+003  0.73812334E-003 -0.11792071E-002
 -0.10331446E+003  0.74997366E-003 -0.11839663E-002
 -0.10319126E+003  0.76187820E-003 -0.11887251E-002
 -0.10306806E+003  0.77383689E-003 -0.11934834E-002
 -0.10294486E+003  0.78584946E-003 -0.11982413E-002
 -0.10282166E+003  0.79791668E-003 -0.12029987E-002
 -0.10269846E+003  0.81003689E-003 -0.12077552E-002
 -0.10257526E+003  0.82221219E-003 -0.12125110E-002
 -0.10245206E+003  0.83443999E-003 -0.12172657E-002
 -0.10232886E+003  0.84672193E-003 -0.12220195E-002
 -0.10220566E+003  0.85905771E-003 -0.12267722E-002
 -0.10208246E+003  0.87144714E-003 -0.12315237E-002
 -0.10195926E+003  0.88388931E-003 -0.12362737E-002
 -0.10183606E+003  0.89638550E-003 -0.12410225E-002
 -0.10171286E+003  0.90893407E-003 -0.12457696E-002
 -0.10158966E+003  0.92153627E-003 -0.12505152E-002
 -0.10146646E+003  0.93419119E-003 -0.12552590E-002
 -0.10134326E+003  0.94689860E-003 -0.12600009E-002
 -0.10122006E+003  0.95965984E-003 -0.12647409E-002
 -0.10109686E+003  0.97247292E-003 -0.12694790E-002
