 -0.10690468E+003  0.13297243E-001 -0.30787608E+003  0.28662118E+001
 -0.10679890E+003  0.13322110E-001 -0.30727181E+003  0.28662118E+001
 -0.10669313E+003  0.13346991E-001 -0.30726970E+003  0.19949665E-001
 -0.10658735E+003  0.13371890E-001 -0.30726759E+003  0.19993332E-001
 -0.10648157E+003  0.13396805E-001 -0.30726547E+003  0.20036923E-001
 -0.10637579E+003  0.13421738E-001 -0.30726335E+003  0.20080601E-001
 -0.10627001E+003  0.13446693E-001 -0.30726123E+003  0.20124293E-001
 -0.10616424E+003  0.13471669E-001 -0.30725910E+003  0.20167839E-001
 -0.10605846E+003  0.13496669E-001 -0.30725696E+003  0.20212592E-001
 -0.10595268E+003  0.13521678E-001 -0.30725482E+003  0.20256174E-001
 -0.10584690E+003  0.13546731E-001 -0.30725267E+003  0.20298369E-001
 -0.10574113E+003  0.13571811E-001 -0.30725052E+003  0.20341793E-001
 -0.10563535E+003  0.13596922E-001 -0.30724837E+003  0.20385230E-001
 -0.10552957E+003  0.13622065E-001 -0.30724621E+003  0.20428546E-001
 -0.10542379E+003  0.13647243E-001 -0.30724405E+003  0.20471828E-001
 -0.10531801E+003  0.13672456E-001 -0.30724188E+003  0.20514951E-001
 -0.10521224E+003  0.13697706E-001 -0.30723971E+003  0.20558033E-001
 -0.10510646E+003  0.13722995E-001 -0.30723753E+003  0.20601072E-001
 -0.10500068E+003  0.13748325E-001 -0.30723535E+003  0.20644029E-001
 -0.10489490E+003  0.13773699E-001 -0.30723316E+003  0.20686836E-001
 -0.10478913E+003  0.13799116E-001 -0.30723097E+003  0.20729570E-001
 -0.10468335E+003  0.13824580E-001 -0.30722878E+003  0.20772180E-001
 -0.10457757E+003  0.13850093E-001 -0.30722658E+003  0.20814552E-001
 -0.10447179E+003  0.13875655E-001 -0.30722438E+003  0.20856870E-001
 -0.10436601E+003  0.13901270E-001 -0.30722217E+003  0.20899166E-001
 -0.10426024E+003  0.13926939E-001 -0.30721995E+003  0.20941341E-001
 -0.10415446E+003  0.13952665E-001 -0.30721774E+003  0.20983165E-001
 -0.10404868E+003  0.13978448E-001 -0.30721551E+003  0.21024880E-001
 -0.10394290E+003  0.14004290E-001 -0.30721329E+003  0.21066542E-001
 -0.10383713E+003  0.14030195E-001 -0.30721106E+003  0.21108022E-001
 -0.10373135E+003  0.14056164E-001 -0.30720882E+003  0.21149251E-001
 -0.10362557E+003  0.14082199E-001 -0.30720658E+003  0.21190269E-001
 -0.10351979E+003  0.14108301E-001 -0.30720434E+003  0.21231189E-001
 -0.10341401E+003  0.14134474E-001 -0.30720209E+003  0.21271903E-001
 -0.10330824E+003  0.14160719E-001 -0.30719984E+003  0.21312365E-001
 -0.10320246E+003  0.14187038E-001 -0.30719758E+003  0.21352615E-001
 -0.10309668E+003  0.14213434E-001 -0.30719532E+003  0.21392695E-001
 -0.10299090E+003  0.14239907E-001 -0.30719306E+003  0.21432465E-001
 -0.10288513E+003  0.14266461E-001 -0.30719079E+003  0.21472056E-001
 -0.10277935E+003  0.14293098E-001 -0.30718851E+003  0.21511416E-001
 -0.10267357E+003  0.14319820E-001 -0.30718624E+003  0.21550504E-001
 -0.10256779E+003  0.14346629E-001 -0.30718396E+003  0.21589351E-001
 -0.10246201E+003  0.14373526E-001 -0.30718167E+003  0.21627859E-001
 -0.10235624E+003  0.14400514E-001 -0.30717938E+003  0.21666131E-001
 -0.10225046E+003  0.14427596E-001 -0.30717709E+003  0.21704175E-001
 -0.10214468E+003  0.14454775E-001 -0.30717479E+003  0.21741902E-001
 -0.10203890E+003  0.14482050E-001 -0.30717249E+003  0.21779321E-001
 -0.10193313E+003  0.14509426E-001 -0.30717018E+003  0.21816403E-001
 -0.10182735E+003  0.14536904E-001 -0.30716787E+003  0.21853242E-001
 -0.10172157E+003  0.14564486E-001 -0.30716556E+003  0.21889729E-001
 -0.10161579E+003  0.14592175E-001 -0.30716324E+003  0.21925837E-001
 -0.10151001E+003  0.14619973E-001 -0.30716092E+003  0.21961690E-001
 -0.10140424E+003  0.14647882E-001 -0.30715859E+003  0.21997148E-001
