 -0.10688913E+003  0.97298224E-001 -0.26828917E+002  0.25132741E+002
 -0.10676779E+003  0.97447173E-001 -0.26827175E+002  0.25131007E+002
 -0.10664646E+003  0.97601254E-001 -0.26825385E+002  0.25129225E+002
 -0.10652513E+003  0.97747077E-001 -0.26823631E+002  0.25127480E+002
 -0.10640379E+003  0.97891436E-001 -0.26821871E+002  0.25125729E+002
 -0.10628246E+003  0.98034342E-001 -0.26820104E+002  0.25123970E+002
 -0.10616113E+003  0.98175778E-001 -0.26818331E+002  0.25122205E+002
 -0.10603979E+003  0.98315754E-001 -0.26816551E+002  0.25120434E+002
 -0.10591846E+003  0.98454275E-001 -0.26814765E+002  0.25118657E+002
 -0.10579713E+003  0.98591323E-001 -0.26812973E+002  0.25116873E+002
 -0.10567579E+003  0.98726922E-001 -0.26811174E+002  0.25115083E+002
 -0.10555446E+003  0.98861052E-001 -0.26809370E+002  0.25113288E+002
 -0.10543313E+003  0.98993719E-001 -0.26807560E+002  0.25111487E+002
 -0.10531179E+003  0.99124924E-001 -0.26805744E+002  0.25109679E+002
 -0.10519046E+003  0.99254659E-001 -0.26803922E+002  0.25107867E+002
 -0.10506913E+003  0.99382932E-001 -0.26802095E+002  0.25106048E+002
 -0.10494779E+003  0.99509736E-001 -0.26800262E+002  0.25104225E+002
 -0.10482646E+003  0.99635078E-001 -0.26798424E+002  0.25102396E+002
 -0.10470513E+003  0.99758942E-001 -0.26796580E+002  0.25100561E+002
 -0.10458379E+003  0.99881344E-001 -0.26794732E+002  0.25098722E+002
 -0.10446246E+003  0.10000226E+000 -0.26792878E+002  0.25096878E+002
 -0.10434113E+003  0.10012171E+000 -0.26791020E+002  0.25095028E+002
 -0.10421979E+003  0.10023967E+000 -0.26789156E+002  0.25093174E+002
 -0.10409846E+003  0.10035616E+000 -0.26787288E+002  0.25091315E+002
 -0.10397713E+003  0.10047117E+000 -0.26785415E+002  0.25089452E+002
 -0.10385579E+003  0.10058469E+000 -0.26783537E+002  0.25087584E+002
