 -0.10686113E+003  0.63898881E-003  0.10329873E-002
 -0.10671179E+003  0.64457675E-003  0.10343086E-002
 -0.10656246E+003  0.65022290E-003  0.10356475E-002
 -0.10641313E+003  0.65592725E-003  0.10370036E-002
 -0.10626379E+003  0.66168989E-003  0.10383772E-002
 -0.10611446E+003  0.66751087E-003  0.10397680E-002
 -0.10596513E+003  0.67339017E-003  0.10411760E-002
 -0.10581579E+003  0.67932789E-003  0.10426013E-002
 -0.10566646E+003  0.68532395E-003  0.10440438E-002
 -0.10551713E+003  0.69137843E-003  0.10455033E-002
 -0.10536779E+003  0.69749134E-003  0.10469798E-002
 -0.10521846E+003  0.70366268E-003  0.10484733E-002
 -0.10506913E+003  0.70989244E-003  0.10499836E-002
 -0.10491979E+003  0.71618066E-003  0.10515108E-002
 -0.10477046E+003  0.72252725E-003  0.10528567E-002
 -0.10462113E+003  0.72893222E-003  0.10544167E-002
 -0.10447179E+003  0.73539562E-003  0.10559932E-002
 -0.10432246E+003  0.74191738E-003  0.10575864E-002
 -0.10417313E+003  0.74849748E-003  0.10591958E-002
 -0.10402379E+003  0.75513577E-003  0.10608216E-002
 -0.10387446E+003  0.76183245E-003  0.10624637E-002
 -0.10372513E+003  0.76858725E-003  0.10641220E-002
 -0.10357579E+003  0.77540021E-003  0.10657962E-002
 -0.10342646E+003  0.78227129E-003  0.10674864E-002
 -0.10327713E+003  0.78920043E-003  0.10691926E-002
 -0.10312779E+003  0.79618755E-003  0.10709145E-002
 -0.10297846E+003  0.80323259E-003  0.10726520E-002
 -0.10282913E+003  0.81033543E-003  0.10744051E-002
 -0.10267979E+003  0.81749610E-003  0.10761736E-002
 -0.10253046E+003  0.82471442E-003  0.10779576E-002
 -0.10238113E+003  0.83199031E-003  0.10797568E-002
 -0.10223179E+003  0.83932378E-003  0.10815708E-002
 -0.10208246E+003  0.84671451E-003  0.10834000E-002
 -0.10193313E+003  0.85416273E-003  0.10852440E-002
 -0.10178379E+003  0.86166793E-003  0.10871027E-002
 -0.10163446E+003  0.86923039E-003  0.10889760E-002
 -0.10148513E+003  0.87684970E-003  0.10908638E-002
 -0.10133579E+003  0.88452591E-003  0.10927658E-002
 -0.10118646E+003  0.89225887E-003  0.10946822E-002
 -0.10103713E+003  0.90004841E-003  0.10966125E-002
 -0.10088779E+003  0.90789433E-003  0.10985567E-002
 -0.10073846E+003  0.91579657E-003  0.11005146E-002
 -0.10058913E+003  0.92375509E-003  0.11024861E-002
 -0.10043979E+003  0.93176961E-003  0.11044713E-002
 -0.10029046E+003  0.93983998E-003  0.11064696E-002
 -0.10014113E+003  0.94796604E-003  0.11084811E-002
 -0.99991793E+002  0.95614766E-003  0.11105055E-002
 -0.99842459E+002  0.96438472E-003  0.11125428E-002
 -0.99693126E+002  0.97267694E-003  0.11145929E-002
 -0.99543793E+002  0.98102430E-003  0.11166554E-002
 -0.99394459E+002  0.98942645E-003  0.11187304E-002
 -0.99245126E+002  0.99788327E-003  0.11208174E-002
 -0.99095793E+002  0.10063947E-002  0.11229166E-002
 -0.98946459E+002  0.10149603E-002  0.11250276E-002
 -0.98797126E+002  0.10235801E-002  0.11271502E-002
 -0.98647793E+002  0.10322537E-002  0.11292845E-002
 -0.98498459E+002  0.10409811E-002  0.11314299E-002
 -0.98349126E+002  0.10497619E-002  0.11335866E-002
 -0.98199793E+002  0.10585961E-002  0.11357543E-002
 -0.98050459E+002  0.10674833E-002  0.11379329E-002
 -0.97901126E+002  0.10764233E-002  0.11401221E-002
 -0.97751793E+002  0.10854160E-002  0.11423218E-002
 -0.97602459E+002  0.10944609E-002  0.11445316E-002
 -0.97453126E+002  0.11035582E-002  0.11467517E-002
 -0.97303793E+002  0.11127073E-002  0.11489818E-002
 -0.97154459E+002  0.11219080E-002  0.11512214E-002
 -0.97005126E+002  0.11311602E-002  0.11534707E-002
 -0.96855793E+002  0.11404635E-002  0.11557294E-002
 -0.96706459E+002  0.11498177E-002  0.11579973E-002
 -0.96557126E+002  0.11592226E-002  0.11602743E-002
 -0.96407793E+002  0.11686779E-002  0.11625600E-002
 -0.96258459E+002  0.11781833E-002  0.11648546E-002
 -0.96109126E+002  0.11877385E-002  0.11671574E-002
 -0.95959793E+002  0.11973434E-002  0.11694686E-002
