 -0.10687357E+003  0.50172829E-003 -0.75589497E-003
 -0.10673668E+003  0.51082049E-003 -0.76022433E-003
 -0.10659979E+003  0.51996630E-003 -0.76456315E-003
 -0.10646290E+003  0.52916574E-003 -0.76891146E-003
 -0.10632601E+003  0.53841920E-003 -0.77326911E-003
 -0.10618913E+003  0.54772672E-003 -0.77763611E-003
 -0.10605224E+003  0.55708775E-003 -0.78201226E-003
 -0.10591535E+003  0.56657981E-003 -0.78557091E-003
 -0.10577846E+003  0.57604573E-003 -0.78996302E-003
 -0.10564157E+003  0.58556557E-003 -0.79436387E-003
 -0.10550468E+003  0.59513854E-003 -0.79877339E-003
 -0.10536779E+003  0.60476532E-003 -0.80319158E-003
 -0.10523090E+003  0.61444519E-003 -0.80761801E-003
 -0.10509401E+003  0.62417808E-003 -0.81205258E-003
 -0.10495713E+003  0.63396452E-003 -0.81649547E-003
 -0.10482024E+003  0.64380385E-003 -0.82094639E-003
 -0.10468335E+003  0.65369649E-003 -0.82540525E-003
 -0.10454646E+003  0.66364243E-003 -0.82987201E-003
 -0.10440957E+003  0.67364097E-003 -0.83434625E-003
 -0.10427268E+003  0.68369205E-003 -0.83882815E-003
 -0.10413579E+003  0.69379657E-003 -0.84331757E-003
 -0.10399890E+003  0.70395339E-003 -0.84781430E-003
 -0.10386201E+003  0.71416304E-003 -0.85231834E-003
 -0.10372513E+003  0.72442526E-003 -0.85682939E-003
 -0.10358824E+003  0.73474003E-003 -0.86134760E-003
 -0.10345135E+003  0.74510673E-003 -0.86587250E-003
 -0.10331446E+003  0.75552620E-003 -0.87040439E-003
 -0.10317757E+003  0.76599781E-003 -0.87494274E-003
 -0.10304068E+003  0.77652151E-003 -0.87948772E-003
 -0.10290379E+003  0.78709710E-003 -0.88403904E-003
 -0.10276690E+003  0.79772448E-003 -0.88859663E-003
 -0.10263001E+003  0.80840413E-003 -0.89316059E-003
 -0.10249313E+003  0.81913516E-003 -0.89773034E-003
 -0.10235624E+003  0.82991769E-003 -0.90230619E-003
 -0.10221935E+003  0.84075200E-003 -0.90688787E-003
 -0.10208246E+003  0.85163735E-003 -0.91147501E-003
 -0.10194557E+003  0.86257434E-003 -0.91606789E-003
 -0.10180868E+003  0.87356261E-003 -0.92066632E-003
 -0.10167179E+003  0.88460160E-003 -0.92526987E-003
 -0.10153490E+003  0.89569165E-003 -0.92987862E-003
 -0.10139801E+003  0.90683217E-003 -0.93449248E-003
 -0.10126113E+003  0.91802344E-003 -0.93911119E-003
 -0.10112424E+003  0.92926540E-003 -0.94373486E-003
 -0.10098735E+003  0.94055791E-003 -0.94836307E-003
 -0.10085046E+003  0.95190084E-003 -0.95299594E-003
 -0.10071357E+003  0.96329344E-003 -0.95763296E-003
 -0.10057668E+003  0.97473613E-003 -0.96227446E-003
 -0.10043979E+003  0.98622875E-003 -0.96691992E-003
 -0.10030290E+003  0.99777118E-003 -0.97156945E-003
 -0.10016601E+003  0.10093628E-002 -0.97622281E-003
 -0.10002913E+003  0.10210040E-002 -0.98087977E-003
 -0.99892237E+002  0.10326945E-002 -0.98554037E-003
 -0.99755348E+002  0.10444343E-002 -0.99020440E-003
 -0.99618459E+002  0.10562232E-002 -0.99487161E-003
 -0.99481570E+002  0.10680606E-002 -0.99954201E-003
 -0.99344681E+002  0.10799464E-002 -0.10042153E-002
 -0.99207793E+002  0.10918809E-002 -0.10088913E-002
 -0.99070904E+002  0.11038639E-002 -0.10135701E-002
 -0.98934015E+002  0.11158950E-002 -0.10182513E-002
 -0.98797126E+002  0.11279739E-002 -0.10229348E-002
 -0.98660237E+002  0.11401005E-002 -0.10276205E-002
 -0.98523348E+002  0.11522746E-002 -0.10323082E-002
 -0.98386459E+002  0.11644964E-002 -0.10369977E-002
