 -0.10686113E+003 -0.10769269E-001  0.61197344E-002
 -0.10671179E+003 -0.10759937E-001  0.62079183E-002
 -0.10656246E+003 -0.10749905E-001  0.62964439E-002
 -0.10641313E+003 -0.10739169E-001  0.63853090E-002
 -0.10626379E+003 -0.10727726E-001  0.64745114E-002
 -0.10611446E+003 -0.10715574E-001  0.65640489E-002
 -0.10596513E+003 -0.10702709E-001  0.66539193E-002
 -0.10581579E+003 -0.10689127E-001  0.67441202E-002
 -0.10566646E+003 -0.10674826E-001  0.68346495E-002
 -0.10551713E+003 -0.10659803E-001  0.69255049E-002
 -0.10536779E+003 -0.10644055E-001  0.70166839E-002
 -0.10521846E+003 -0.10627579E-001  0.71081843E-002
 -0.10506913E+003 -0.10610373E-001  0.72000038E-002
 -0.10491979E+003 -0.10592432E-001  0.72921400E-002
 -0.10477046E+003 -0.10573756E-001  0.73845905E-002
 -0.10462113E+003 -0.10554340E-001  0.74773528E-002
 -0.10447179E+003 -0.10534182E-001  0.75704248E-002
 -0.10432246E+003 -0.10513281E-001  0.76638037E-002
 -0.10417313E+003 -0.10491632E-001  0.77574873E-002
 -0.10402379E+003 -0.10469233E-001  0.78514731E-002
 -0.10387446E+003 -0.10446083E-001  0.79457584E-002
 -0.10372513E+003 -0.10422178E-001  0.80403410E-002
 -0.10357579E+003 -0.10397517E-001  0.81352181E-002
 -0.10342646E+003 -0.10372096E-001  0.82303874E-002
 -0.10327713E+003 -0.10345913E-001  0.83258463E-002
 -0.10312779E+003 -0.10318967E-001  0.84215921E-002
 -0.10297846E+003 -0.10291255E-001  0.85176222E-002
 -0.10282913E+003 -0.10262774E-001  0.86139342E-002
 -0.10267979E+003 -0.10233523E-001  0.87105252E-002
 -0.10253046E+003 -0.10203499E-001  0.88073928E-002
 -0.10238113E+003 -0.10172701E-001  0.89045343E-002
 -0.10223179E+003 -0.10141126E-001  0.90019469E-002
 -0.10208246E+003 -0.10108773E-001  0.90996281E-002
 -0.10193313E+003 -0.10075639E-001  0.91975749E-002
 -0.10178379E+003 -0.10041723E-001  0.92957849E-002
 -0.10163446E+003 -0.10007023E-001  0.93942552E-002
 -0.10148513E+003 -0.99715360E-002  0.94929829E-002
 -0.10133579E+003 -0.99352618E-002  0.95919654E-002
 -0.10118646E+003 -0.98981980E-002  0.96912000E-002
 -0.10103713E+003 -0.98603430E-002  0.97906837E-002
 -0.10088779E+003 -0.98216955E-002  0.98904137E-002
 -0.10073846E+003 -0.97822533E-002  0.99903872E-002
 -0.10058913E+003 -0.97420152E-002  0.10090601E-001
 -0.10043979E+003 -0.97009798E-002  0.10191053E-001
 -0.10029046E+003 -0.96591455E-002  0.10291740E-001
 -0.10014113E+003 -0.96165108E-002  0.10392659E-001
 -0.99991793E+002 -0.95730745E-002  0.10493806E-001
 -0.99842459E+002 -0.95288350E-002  0.10595180E-001
 -0.99693126E+002 -0.94837913E-002  0.10696777E-001
 -0.99543793E+002 -0.94379419E-002  0.10798594E-001
 -0.99394459E+002 -0.93912858E-002  0.10900628E-001
 -0.99245126E+002 -0.93438217E-002  0.11002876E-001
 -0.99095793E+002 -0.92955484E-002  0.11105335E-001
 -0.98946459E+002 -0.92464650E-002  0.11208002E-001
 -0.98797126E+002 -0.91965702E-002  0.11310875E-001
 -0.98647793E+002 -0.91458631E-002  0.11413949E-001
 -0.98498459E+002 -0.90943427E-002  0.11517221E-001
 -0.98349126E+002 -0.90420082E-002  0.11620690E-001
 -0.98199793E+002 -0.89888584E-002  0.11724351E-001
 -0.98050459E+002 -0.89348926E-002  0.11828201E-001
 -0.97901126E+002 -0.88801100E-002  0.11932238E-001
 -0.97751793E+002 -0.88245095E-002  0.12036457E-001
 -0.97602459E+002 -0.87680907E-002  0.12140856E-001
 -0.97453126E+002 -0.87108527E-002  0.12245432E-001
