 -0.10682574E+003 -0.20066018E-002  0.23814398E-002
 -0.10664101E+003 -0.20002476E-002  0.23851562E-002
 -0.10645629E+003 -0.19937477E-002  0.23888442E-002
 -0.10627157E+003 -0.19871027E-002  0.23925038E-002
 -0.10608685E+003 -0.19803134E-002  0.23961345E-002
 -0.10590213E+003 -0.19733807E-002  0.23997365E-002
 -0.10571740E+003 -0.19663053E-002  0.24033093E-002
 -0.10553268E+003 -0.19590879E-002  0.24068530E-002
 -0.10534796E+003 -0.19517295E-002  0.24103673E-002
 -0.10516324E+003 -0.19442306E-002  0.24138521E-002
 -0.10497851E+003 -0.19365922E-002  0.24173071E-002
 -0.10479379E+003 -0.19288153E-002  0.24207324E-002
 -0.10460907E+003 -0.19209003E-002  0.24241276E-002
 -0.10442435E+003 -0.19128483E-002  0.24274928E-002
 -0.10423963E+003 -0.19046600E-002  0.24308277E-002
 -0.10405490E+003 -0.18963364E-002  0.24341321E-002
 -0.10387018E+003 -0.18878782E-002  0.24374061E-002
 -0.10368546E+003 -0.18792863E-002  0.24406494E-002
 -0.10350074E+003 -0.18705614E-002  0.24438619E-002
 -0.10331601E+003 -0.18617046E-002  0.24470436E-002
 -0.10313129E+003 -0.18527165E-002  0.24501941E-002
 -0.10294657E+003 -0.18435983E-002  0.24533137E-002
 -0.10276185E+003 -0.18343505E-002  0.24564019E-002
 -0.10257713E+003 -0.18249742E-002  0.24594588E-002
 -0.10239240E+003 -0.18154703E-002  0.24624844E-002
 -0.10220768E+003 -0.18058396E-002  0.24654785E-002
 -0.10202296E+003 -0.17960828E-002  0.24684409E-002
 -0.10183824E+003 -0.17862011E-002  0.24713716E-002
 -0.10165351E+003 -0.17761954E-002  0.24742707E-002
 -0.10146879E+003 -0.17660664E-002  0.24771380E-002
 -0.10128407E+003 -0.17558150E-002  0.24799735E-002
 -0.10109935E+003 -0.17454422E-002  0.24827770E-002
 -0.10091463E+003 -0.17349489E-002  0.24855488E-002
 -0.10072990E+003 -0.17243361E-002  0.24882885E-002
 -0.10054518E+003 -0.17136045E-002  0.24909963E-002
 -0.10036046E+003 -0.17027552E-002  0.24936722E-002
 -0.10017574E+003 -0.16917891E-002  0.24963161E-002
 -0.99991015E+002 -0.16807071E-002  0.24989280E-002
 -0.99806293E+002 -0.16695102E-002  0.25015080E-002
 -0.99621570E+002 -0.16581992E-002  0.25040561E-002
 -0.99436848E+002 -0.16467751E-002  0.25065724E-002
 -0.99252126E+002 -0.16352390E-002  0.25090568E-002
 -0.99067404E+002 -0.16235916E-002  0.25115095E-002
 -0.98882681E+002 -0.16118341E-002  0.25139305E-002
 -0.98697959E+002 -0.15999672E-002  0.25163199E-002
 -0.98513237E+002 -0.15879920E-002  0.25186778E-002
 -0.98328515E+002 -0.15759094E-002  0.25210044E-002
 -0.98143793E+002 -0.15637205E-002  0.25232997E-002
 -0.97959070E+002 -0.15514262E-002  0.25255638E-002
 -0.97774348E+002 -0.15390274E-002  0.25277970E-002
 -0.97589626E+002 -0.15265252E-002  0.25299993E-002
 -0.97404904E+002 -0.15139203E-002  0.25321709E-002
 -0.97220181E+002 -0.15012141E-002  0.25343120E-002
 -0.97035459E+002 -0.14884072E-002  0.25364229E-002
 -0.96850737E+002 -0.14755009E-002  0.25384468E-002
 -0.96666015E+002 -0.14624958E-002  0.25404961E-002
 -0.96481293E+002 -0.14493933E-002  0.25425158E-002
 -0.96296570E+002 -0.14361942E-002  0.25445061E-002
 -0.96111848E+002 -0.14228996E-002  0.25464673E-002
 -0.95927126E+002 -0.14095104E-002  0.25483995E-002
 -0.95742404E+002 -0.13960275E-002  0.25503031E-002
 -0.95557681E+002 -0.13824521E-002  0.25521784E-002
 -0.95372959E+002 -0.13687853E-002  0.25540256E-002
 -0.95188237E+002 -0.13550279E-002  0.25558451E-002
 -0.95003515E+002 -0.13411808E-002  0.25576371E-002
 -0.94818793E+002 -0.13272454E-002  0.25594019E-002
