0.0000000000000000e+00 7.4163065658504182e-02 -2.0744195670890687e-02 -1.6070860945878673e-02 -3.4880510808972219e-02 -2.4921468687407286e-02 5.9932610405246615e-03 1.0205334430308808e-02 -3.6955553363513617e-02 7.2987507714888752e-02 2.5637671169875993e-02
1.5298382305908391e+00 7.1104721544735489e-02 -2.9241758757978353e-02 -2.0473214509651543e-02 -3.3117017219939836e-02 -2.3979378276054411e-02 5.9241460098858273e-03 1.4693862981607795e-02 -3.5746566648565029e-02 6.9566927107524601e-02 3.4056062651374022e-02
3.0596764611816782e+00 6.7298007970636009e-02 -3.6922602238019013e-02 -2.4427862282041274e-02 -3.1048779263943675e-02 -2.2844260336297120e-02 5.8432845519109282e-03 1.8748934037160894e-02 -3.4196407229293277e-02 6.5421270813340995e-02 4.1639013845343596e-02
4.5895146917725178e+00 6.2577916683838219e-02 -4.4237333247195011e-02 -2.8195083388405033e-02 -2.8570147571370750e-02 -2.1454202492714153e-02 5.7452169303923942e-03 2.2636328484708874e-02 -3.2236214335529825e-02 6.0365867108530237e-02 4.8832938125742721e-02
6.1193529223633565e+00 5.7075204156249788e-02 -5.0952991294776546e-02 -3.1651523334551866e-02 -2.5748058088832987e-02 -1.9848071941367687e-02 5.6319142721791143e-03 2.6230625607481857e-02 -2.9921580589165282e-02 5.4538929031688534e-02 5.5407250783357405e-02
7.6491911529541960e+00 5.0834700105748136e-02 -5.7017027694316262e-02 -3.4774349616863931e-02 -2.2599740392477141e-02 -1.8035045802754980e-02 5.5030318220395148e-03 2.9509379813621939e-02 -2.7271006556918734e-02 4.7985535173056544e-02 6.1309837686719333e-02
9.1790293835450356e+00 4.3941450934503280e-02 -6.2341981120040975e-02 -3.7520267700808518e-02 -1.9163133306476725e-02 -1.6036666980806143e-02 5.3589809029824156e-03 3.2428876202908276e-02 -2.4320405134278682e-02 4.0792698835960664e-02 6.6454498525591474e-02
1.0708867614135874e+01 3.6479925721037212e-02 -6.6859671987122962e-02 -3.9855912145911013e-02 -1.5474932942622040e-02 -1.3873610113060552e-02 5.1999933242903367e-03 3.4955530867247148e-02 -2.1105281006589267e-02 3.3046244074178624e-02 7.0774251800567664e-02
1.2238705844726713e+01 2.8545052744990567e-02 -7.0509440343829985e-02 -4.1751087166469532e-02 -1.1576580510709731e-02 -1.1569368516922729e-02 5.0264018279861586e-03 3.7058817970743119e-02 -1.7665652118555791e-02 2.4842418436888974e-02 7.4209815842447388e-02
1.3768544075317553e+01 2.0237472829769086e-02 -7.3241994406364683e-02 -4.3180870476810879e-02 -7.5119210359524749e-03 -9.1488543900126416e-03 4.8385576046679063e-03 3.8713460366151434e-02 -1.4043987317740625e-02 1.6282981267768885e-02 7.6713354232565312e-02
1.5298382305908392e+01 1.1663539298741202e-02 -7.5019398708034452e-02 -4.4125526639095802e-02 -3.3273443273283861e-03 -6.6385327619726455e-03 4.6368611545478597e-03 3.9899302553387979e-02 -1.0285269368835871e-02 7.4752387539920662e-03 7.8248467925909393e-02
1.6828220536499231e+01 2.9334816278571980e-03 -7.5815895631847083e-02 -4.4570930885934890e-02 9.2900481457471994e-04 -4.0659794125463972e-03 4.4217481026327110e-03 4.0601745517459278e-02 -6.4362346390784151e-03 -1.4698110245341281e-03 7.8790977128726000e-02
1.8358058767090071e+01 -5.8400175294687062e-03 -7.5618269157933599e-02 -4.4508750771392686e-02 5.2078115898600251e-03 -1.4595656370390948e-03 4.1936931600959071e-03 4.0811917787894211e-02 -2.5448013952732319e-03 -1.0438905185311804e-02 7.8329261813841172e-02
